,sex,age,marital_status,number_of_dependants,annual_income,account_type,credit_limit,number_of_accounts,months_since_openning,outstanding_balance,utilisation_ratio,total_amount_of_transactions,total_number_of_transactions,number_of_contacts_over_12_months,months_inactive_over_12_months,Predicted
562,M,48,Married,4,$50K - $70K,Silver,2514.0,5,40,2251,0.895,3942,65,2,1,0
563,M,58,Single,1,$90K - $110K,Silver,9890.0,3,49,0,0.0,3497,69,2,3,0
564,F,38,Married,2,Less than $50K,Silver,1830.0,4,27,0,0.0,1741,43,2,1,0
565,M,57,Married,2,$110K and Over,Silver,4698.0,6,49,984,0.209,1865,35,1,3,0
566,F,55,Divorced,2,Less than $50K,Silver,9919.0,4,43,0,0.0,2058,70,4,2,0
567,F,46,Single,3,Less than $50K,Silver,3901.0,6,27,1001,0.257,4313,72,3,3,0
568,F,38,Married,1,Less than $50K,Silver,3416.0,2,31,2517,0.737,14230,105,3,6,0
569,F,50,Married,2,$50K - $70K,Silver,1438.3,1,36,458,0.318,1863,42,1,3,1
570,M,41,Unknown,4,$50K - $70K,Silver,3600.0,5,29,746,0.207,4184,61,2,4,0
571,F,38,Married,4,$50K - $70K,Silver,4913.0,4,36,2517,0.512,899,28,4,4,0
572,F,30,Single,1,Less than $50K,Silver,1438.3,4,18,0,0.0,4322,68,1,2,0
573,M,42,Single,3,$90K - $110K,Silver,4147.0,4,30,1719,0.415,1776,44,4,5,0
574,F,49,Single,3,Less than $50K,Silver,1546.0,4,44,0,0.0,4496,83,4,2,0
575,M,29,Single,0,$50K - $70K,Silver,5988.0,6,36,660,0.11,10211,68,1,3,1
576,F,45,Single,4,Less than $50K,Silver,1502.0,3,35,0,0.0,4890,61,2,2,0
577,F,35,Married,2,$50K - $70K,Silver,1438.3,4,15,834,0.58,4551,82,1,2,0
578,F,56,Single,2,Less than $50K,Silver,5254.0,1,43,0,0.0,4546,89,1,3,0
579,F,53,Married,4,Unknown,Silver,10533.0,5,49,330,0.031,2585,48,4,5,1
580,F,40,Married,3,Less than $50K,Silver,1438.3,5,27,988,0.687,3561,72,3,3,0
581,F,57,Married,2,Less than $50K,Silver,1629.0,5,40,1185,0.727,4897,83,2,3,0
582,F,56,Single,3,Less than $50K,Silver,2433.0,4,49,1947,0.8,4269,88,1,3,0
583,M,43,Married,1,$90K - $110K,Silver,21165.0,5,33,735,0.035,3343,60,5,1,0
584,F,56,Married,0,Unknown,Silver,4203.0,4,48,1965,0.468,1425,32,2,1,0
585,M,62,Married,1,Unknown,Silver,3198.0,5,36,2308,0.722,1402,35,2,2,0
586,M,56,Married,2,$90K - $110K,Silver,12186.0,3,51,1080,0.089,4785,66,3,3,0
587,M,45,Single,1,$70K - $90K,Silver,21696.0,5,35,1036,0.048,3354,76,2,3,0
588,F,44,Unknown,2,Less than $50K,Silver,3226.0,5,34,2517,0.78,4317,81,3,1,0
589,M,55,Married,2,$90K - $110K,Silver,6514.0,3,36,2258,0.347,1383,20,3,2,0
590,F,40,Married,3,Less than $50K,Silver,1811.0,5,31,821,0.453,4290,73,1,6,0
591,M,48,Unknown,3,$70K - $90K,Silver,8290.0,2,36,1030,0.124,8980,93,2,1,0
592,M,49,Married,3,$110K and Over,Silver,7753.0,6,37,1643,0.212,3367,65,3,3,0
593,F,48,Single,4,Less than $50K,Titanium,15987.0,5,37,0,0.0,7681,71,4,3,1
594,M,45,Divorced,1,$70K - $90K,Silver,21721.0,4,39,1247,0.057,3937,63,0,2,0
595,M,55,Married,3,$70K - $90K,Silver,5668.0,3,49,2517,0.444,3382,56,4,1,0
596,F,39,Married,2,Unknown,Silver,10723.0,6,27,1529,0.143,2938,63,2,2,0
597,M,46,Married,5,$50K - $70K,Silver,2375.0,6,37,1196,0.504,4087,66,1,2,0
598,F,60,Married,0,Unknown,Silver,10730.0,1,41,970,0.09,4939,71,1,3,0
599,M,26,Single,0,Less than $50K,Silver,1585.0,4,21,1535,0.968,2299,49,2,3,0
600,F,55,Single,1,Less than $50K,Silver,1836.0,5,36,572,0.312,2400,34,3,2,1
601,F,48,Married,2,Less than $50K,Silver,2514.0,4,36,2090,0.831,2603,53,4,3,1
602,F,42,Single,3,Less than $50K,Silver,3787.0,1,37,824,0.218,16220,120,1,3,0
603,F,33,Unknown,2,$50K - $70K,Silver,1843.0,4,22,1293,0.702,2077,61,2,2,0
604,F,48,Married,1,Unknown,Silver,1438.3,5,38,0,0.0,2171,38,2,2,1
605,F,65,Single,0,Unknown,Silver,20130.0,5,56,2355,0.117,2444,49,5,3,0
606,F,29,Single,1,Less than $50K,Silver,4945.0,4,23,0,0.0,2743,69,4,3,0
607,F,40,Married,4,$50K - $70K,Silver,2822.0,5,27,2182,0.773,5371,93,2,2,0
608,F,49,Single,0,Unknown,Silver,2874.0,6,43,0,0.0,4617,89,3,3,0
609,M,50,Married,1,$90K - $110K,Silver,33951.0,5,45,0,0.0,1567,44,2,2,0
610,M,45,Married,5,$70K - $90K,Silver,3439.0,2,39,0,0.0,2661,35,3,3,1
611,M,43,Single,3,$70K - $90K,Silver,13771.0,6,34,2517,0.183,1510,42,0,2,0
612,M,49,Married,5,$70K - $90K,Gold,29531.0,1,38,2088,0.071,15039,120,2,1,0
613,F,50,Married,3,Less than $50K,Silver,1438.3,4,38,0,0.0,4740,81,4,3,0
614,M,40,Single,3,$90K - $110K,Silver,22380.0,3,34,1220,0.055,3756,73,4,3,0
615,M,48,Single,3,$90K - $110K,Gold,34516.0,3,37,0,0.0,1122,13,3,2,0
616,M,45,Divorced,5,$70K - $90K,Gold,31756.0,4,36,1459,0.046,4759,70,4,2,0
617,M,43,Divorced,4,$90K - $110K,Silver,19188.0,5,36,1622,0.085,4282,52,1,1,0
618,F,44,Married,3,Less than $50K,Silver,1855.0,3,35,0,0.0,2544,27,2,3,1
619,F,46,Married,3,Unknown,Silver,10600.0,3,40,0,0.0,4697,67,3,3,0
620,F,44,Single,3,Less than $50K,Silver,9297.0,5,24,1668,0.179,1264,31,4,1,0
621,M,45,Married,3,$70K - $90K,Silver,14593.0,3,36,1504,0.103,3447,72,3,1,0
622,F,54,Married,1,Unknown,Silver,5839.0,3,43,2130,0.365,1640,44,2,3,0
623,M,29,Married,1,$50K - $70K,Silver,8147.0,1,23,1750,0.215,14912,114,1,3,0
624,M,48,Single,4,$110K and Over,Silver,30210.0,2,40,1946,0.064,7403,88,3,3,0
625,F,38,Married,2,$50K - $70K,Silver,1593.0,4,31,1091,0.685,4136,67,4,2,0
626,F,43,Divorced,3,Less than $50K,Silver,7084.0,3,38,0,0.0,2287,44,3,3,1
627,F,59,Single,1,Unknown,Silver,8708.0,3,49,1091,0.125,2508,49,6,4,1
628,F,36,Single,3,Less than $50K,Silver,1964.0,5,36,0,0.0,4240,60,3,2,0
629,M,47,Single,5,$90K - $110K,Silver,18800.0,3,37,2517,0.134,1575,23,4,4,0
630,F,63,Single,2,Less than $50K,Diamond,15987.0,4,55,1345,0.084,3640,56,3,1,0
631,F,50,Married,4,Unknown,Gold,34516.0,3,36,2096,0.061,7042,73,1,2,0
632,F,39,Married,3,$50K - $70K,Silver,3249.0,4,28,2217,0.682,1988,36,2,2,0
633,F,33,Single,3,$50K - $70K,Gold,19594.0,2,36,971,0.05,12429,111,3,3,0
634,F,50,Married,1,Less than $50K,Silver,1652.0,5,45,1318,0.798,4533,69,4,3,0
635,M,49,Married,2,$90K - $110K,Silver,3989.0,4,36,2514,0.63,5189,82,1,3,0
636,M,26,Single,0,$50K - $70K,Silver,2187.0,5,19,1597,0.73,2560,46,2,2,0
637,F,56,Married,2,Less than $50K,Silver,2029.0,5,36,974,0.48,4170,73,3,3,0
638,F,43,Unknown,4,Unknown,Silver,12778.0,5,34,1528,0.12,3337,69,3,3,0
639,F,50,Married,2,Less than $50K,Silver,2897.0,1,38,0,0.0,4891,87,1,1,0
640,M,47,Married,2,$90K - $110K,Silver,9437.0,3,36,2024,0.214,4715,78,3,1,0
641,F,43,Unknown,2,Unknown,Silver,6109.0,3,35,1549,0.254,4430,69,4,3,0
642,M,54,Married,4,$70K - $90K,Silver,5269.0,3,49,1099,0.209,2195,63,2,1,0
643,M,49,Married,3,Less than $50K,Silver,2976.0,3,36,1817,0.611,3332,60,5,3,0
644,F,39,Single,4,Unknown,Silver,12405.0,3,36,0,0.0,3151,39,4,2,1
645,F,53,Married,2,Less than $50K,Silver,2377.0,4,36,1649,0.694,1378,26,2,1,0
646,M,39,Married,2,$110K and Over,Silver,34516.0,6,36,2517,0.073,7866,63,3,3,1
647,M,46,Married,3,$110K and Over,Silver,1438.3,6,40,0,0.0,4833,69,3,3,0
648,F,42,Married,5,$50K - $70K,Silver,7434.0,2,36,0,0.0,4182,76,1,1,0
649,F,26,Single,1,Less than $50K,Silver,2404.0,3,13,1198,0.498,2692,63,3,2,0
650,F,46,Married,3,$50K - $70K,Silver,8583.0,2,34,0,0.0,1794,31,2,3,1
651,F,54,Single,4,Less than $50K,Silver,1921.0,1,36,1334,0.694,4512,90,0,3,0
652,F,56,Single,4,Unknown,Silver,3334.0,5,51,1272,0.382,4284,73,1,1,0
653,F,41,Married,2,$50K - $70K,Silver,2690.0,5,36,1912,0.711,3636,68,3,3,0
654,M,38,Single,2,$50K - $70K,Silver,14632.0,6,24,1158,0.079,1399,36,2,3,0
655,F,50,Married,3,Less than $50K,Silver,4060.0,2,34,2336,0.575,5173,87,2,2,0
656,F,26,Single,0,Unknown,Silver,6152.0,1,13,0,0.0,968,23,4,2,1
657,M,51,Single,2,$110K and Over,Silver,22294.0,4,45,0,0.0,3444,71,2,2,0
658,M,54,Married,3,$110K and Over,Silver,34516.0,2,44,862,0.025,15034,111,3,1,0
659,M,39,Divorced,2,$50K - $70K,Gold,17894.0,5,23,304,0.017,4691,63,3,2,0
660,M,52,Married,3,$90K - $110K,Silver,15011.0,4,46,2517,0.168,1821,36,3,2,0
661,M,47,Single,5,$110K and Over,Gold,34516.0,5,36,1686,0.049,4039,72,2,2,0
662,F,50,Divorced,3,Less than $50K,Silver,4248.0,5,40,316,0.074,2271,36,4,4,1
663,F,33,Single,3,Less than $50K,Silver,2562.0,6,23,1968,0.768,2256,70,1,4,0
664,F,30,Divorced,0,Unknown,Silver,7772.0,5,13,1890,0.243,2585,75,2,1,0
665,F,55,Single,2,Less than $50K,Silver,1886.0,3,36,1023,0.542,4233,81,2,3,0
666,M,46,Unknown,1,$50K - $70K,Silver,12781.0,6,27,1253,0.098,1073,21,3,3,0
667,F,49,Married,1,$50K - $70K,Silver,2721.0,5,36,1527,0.561,4622,88,1,3,0
668,M,51,Single,1,$70K - $90K,Silver,9619.0,5,43,1731,0.18,3690,76,4,2,0
669,M,43,Married,1,$70K - $90K,Silver,3764.0,2,31,1780,0.473,4898,80,3,3,0
670,F,57,Married,0,Less than $50K,Silver,2448.0,6,45,0,0.0,5464,98,2,1,0
671,F,51,Married,1,Unknown,Silver,7336.0,6,45,1031,0.141,3812,67,1,2,0
672,M,59,Single,2,$90K - $110K,Silver,2791.0,3,54,2396,0.858,2658,43,2,2,1
673,F,55,Married,2,Unknown,Silver,3025.0,3,35,2376,0.785,1277,23,0,3,0
674,F,50,Married,2,Less than $50K,Gold,13384.0,1,37,0,0.0,4773,77,2,3,0
675,F,42,Single,3,Less than $50K,Silver,1438.3,2,30,0,0.0,1693,37,3,3,1
676,M,55,Single,1,$90K - $110K,Silver,6846.0,3,48,0,0.0,1735,35,3,3,1
677,M,50,Single,1,$90K - $110K,Silver,3370.0,3,44,1133,0.336,4726,86,2,3,0
678,M,39,Single,2,$90K - $110K,Silver,4061.0,4,24,1775,0.437,1602,40,2,3,0
679,M,41,Single,1,$90K - $110K,Silver,2404.0,6,31,1887,0.785,4489,75,4,2,0
680,M,43,Married,3,$70K - $90K,Gold,25856.0,4,30,1281,0.05,3303,70,4,3,0
681,F,43,Divorced,3,Less than $50K,Silver,1477.0,6,31,0,0.0,4802,82,3,4,0
682,F,43,Single,3,Less than $50K,Silver,2325.0,6,36,238,0.102,2306,47,3,3,1
683,F,47,Married,5,Less than $50K,Silver,2950.0,5,40,2000,0.678,4742,79,3,1,0
684,F,57,Single,3,Less than $50K,Silver,1737.0,5,44,813,0.468,3669,58,2,3,0
685,F,52,Unknown,1,Less than $50K,Silver,8506.0,1,39,0,0.0,14289,113,1,2,0
686,F,39,Married,4,$50K - $70K,Silver,7596.0,4,28,2199,0.289,2164,45,4,2,0
687,F,40,Unknown,2,$50K - $70K,Gold,16903.0,5,28,1507,0.089,3819,61,4,3,0
688,F,51,Married,1,Less than $50K,Silver,1665.0,4,43,1521,0.914,2878,45,3,3,1
689,F,46,Married,4,$50K - $70K,Silver,2168.0,6,34,1704,0.786,4584,92,3,3,0
690,F,42,Unknown,5,Less than $50K,Silver,6250.0,2,37,1835,0.294,4042,60,2,3,0
691,F,58,Married,0,Less than $50K,Silver,2232.0,5,47,786,0.352,1395,39,2,3,0
692,F,53,Married,2,$50K - $70K,Silver,3024.0,3,42,1649,0.545,4463,89,1,5,0
693,F,53,Single,4,Less than $50K,Silver,4117.0,4,46,777,0.189,5218,88,2,1,0
694,F,53,Married,4,Less than $50K,Silver,1438.3,2,36,0,0.0,1739,44,5,3,1
695,F,49,Single,4,Less than $50K,Silver,2636.0,1,36,1257,0.477,7136,82,3,1,0
696,F,48,Married,2,Less than $50K,Silver,4204.0,3,30,0,0.0,2316,43,3,3,1
697,F,37,Single,2,Less than $50K,Silver,1610.0,2,36,0,0.0,2729,45,0,3,1
698,M,43,Single,2,$70K - $90K,Gold,27781.0,4,37,0,0.0,3184,61,3,3,0
699,F,55,Single,2,$50K - $70K,Silver,1438.3,4,35,696,0.484,4307,76,4,4,0
700,F,46,Married,2,Less than $50K,Silver,5258.0,5,36,1994,0.379,3972,73,3,2,0
701,F,47,Married,3,Unknown,Silver,11410.0,6,39,979,0.086,2736,38,4,3,1
702,M,28,Divorced,1,Less than $50K,Silver,2265.0,5,36,1935,0.854,2306,61,4,3,0
703,M,52,Single,2,$50K - $70K,Silver,1538.0,3,44,666,0.433,4808,64,2,4,0
704,F,45,Married,3,Less than $50K,Silver,4174.0,1,33,2507,0.601,7905,86,3,2,0
705,F,51,Single,1,Less than $50K,Silver,2006.0,6,33,1608,0.802,2760,38,3,3,1
706,M,52,Single,3,$110K and Over,Silver,19032.0,6,47,0,0.0,1726,42,3,1,0
707,M,50,Divorced,3,$110K and Over,Silver,3073.0,3,37,1792,0.583,1734,35,2,1,0
708,F,59,Married,2,Less than $50K,Silver,3850.0,6,36,0,0.0,15107,117,2,3,0
709,F,31,Single,0,Less than $50K,Silver,4712.0,4,20,955,0.203,2568,62,4,3,0
710,F,54,Single,3,Less than $50K,Silver,1719.0,2,49,0,0.0,4869,65,2,2,0
711,F,42,Married,3,Less than $50K,Silver,2281.0,4,36,1548,0.679,4384,78,1,2,0
712,M,52,Single,3,$90K - $110K,Silver,2516.0,3,36,1268,0.504,4461,80,1,4,0
713,F,49,Single,0,Less than $50K,Silver,2481.0,1,43,1568,0.632,4466,69,1,3,0
714,F,37,Married,3,Less than $50K,Silver,1468.0,3,17,1074,0.732,2050,32,3,1,0
715,F,41,Married,2,Less than $50K,Silver,2157.0,6,30,721,0.334,4250,85,4,2,0
716,M,55,Single,2,$90K - $110K,Silver,15026.0,3,36,916,0.061,3281,63,1,2,0
717,F,48,Single,4,$50K - $70K,Silver,8135.0,6,38,0,0.0,1716,29,3,1,0
718,M,65,Single,1,Less than $50K,Silver,2351.0,3,36,0,0.0,1593,35,4,4,0
719,M,43,Single,3,$70K - $90K,Silver,12254.0,2,38,0,0.0,2129,42,2,3,1
720,F,58,Single,2,Less than $50K,Silver,1438.3,4,50,818,0.569,4196,71,4,3,0
721,F,47,Married,3,Less than $50K,Silver,2822.0,5,36,0,0.0,5064,74,3,3,0
722,M,57,Divorced,0,$90K - $110K,Silver,2795.0,4,39,1832,0.655,4679,67,3,4,0
723,M,34,Married,0,$50K - $70K,Silver,3870.0,3,13,1394,0.36,1588,36,2,3,0
724,F,50,Married,1,Less than $50K,Silver,4143.0,3,36,1888,0.456,3940,74,2,1,0
725,M,52,Single,0,$110K and Over,Silver,13114.0,4,48,2247,0.171,2474,51,5,5,0
726,F,53,Married,2,$50K - $70K,Silver,5182.0,1,37,2500,0.482,5012,85,3,4,0
727,M,59,Married,1,$50K - $70K,Silver,2483.0,4,36,1372,0.553,1704,35,2,2,0
728,F,58,Single,3,Less than $50K,Silver,8886.0,4,54,0,0.0,4148,79,3,2,0
729,M,46,Single,2,$50K - $70K,Silver,5972.0,2,32,0,0.0,14227,116,2,3,0
730,M,40,Married,4,$70K - $90K,Silver,5797.0,6,36,1779,0.307,2131,33,3,3,0
731,M,43,Single,2,$90K - $110K,Silver,34427.0,2,36,1613,0.047,13545,112,1,2,0
732,M,45,Single,2,$50K - $70K,Silver,6530.0,2,31,1425,0.218,8904,101,1,2,0
733,F,44,Single,4,Less than $50K,Silver,1552.0,2,35,1375,0.886,5064,80,3,5,0
734,M,41,Married,2,$50K - $70K,Silver,5214.0,5,32,795,0.152,1258,23,3,1,0
735,M,49,Married,2,$70K - $90K,Silver,6224.0,2,36,1329,0.214,14238,93,2,1,0
736,F,53,Married,1,Less than $50K,Silver,2590.0,5,39,1564,0.604,1188,40,4,2,0
737,F,39,Married,4,$50K - $70K,Silver,2725.0,2,28,2302,0.845,4714,81,2,3,0
738,M,56,Married,2,$90K - $110K,Silver,23510.0,4,36,1049,0.045,1661,35,3,2,0
739,F,48,Married,4,Less than $50K,Silver,2913.0,2,30,0,0.0,4955,56,2,3,1
740,M,51,Married,3,$90K - $110K,Silver,7088.0,1,39,1750,0.247,4691,76,1,2,0
741,F,50,Married,4,Less than $50K,Silver,2433.0,6,36,1948,0.801,4668,69,2,2,0
742,M,44,Unknown,4,$50K - $70K,Gold,18072.0,1,40,1378,0.076,8199,98,2,1,0
743,F,42,Married,2,Less than $50K,Silver,2573.0,1,28,1742,0.677,4649,88,3,2,0
744,F,43,Unknown,3,Less than $50K,Silver,1824.0,3,36,0,0.0,4594,86,2,3,0
745,F,43,Single,3,Less than $50K,Silver,1521.0,6,38,0,0.0,4880,79,2,1,0
746,M,43,Married,4,$50K - $70K,Silver,6111.0,5,39,2517,0.412,1221,16,2,1,0
747,M,60,Single,1,$50K - $70K,Silver,1848.0,6,54,1408,0.762,4757,75,3,3,0
748,F,43,Unknown,5,$50K - $70K,Silver,4430.0,3,24,2203,0.497,2742,49,2,2,0
749,F,55,Married,2,Unknown,Silver,12494.0,5,36,0,0.0,7026,69,2,3,1
750,F,42,Married,2,Unknown,Silver,22718.0,4,31,0,0.0,1191,37,0,2,0
751,M,38,Married,2,$90K - $110K,Silver,3735.0,2,30,1421,0.38,1837,47,2,3,0
752,F,34,Single,4,Less than $50K,Silver,1438.3,3,28,0,0.0,4626,86,3,2,0
753,F,58,Single,1,Less than $50K,Silver,1552.0,1,46,0,0.0,4731,71,1,5,0
754,M,36,Married,2,$90K - $110K,Silver,15982.0,4,26,1691,0.106,1687,40,4,2,0
755,M,28,Married,0,Less than $50K,Silver,2943.0,5,18,1789,0.608,2591,55,3,1,0
756,M,47,Single,2,Less than $50K,Silver,3235.0,2,37,797,0.246,1493,32,3,1,1
757,M,52,Married,0,$110K and Over,Gold,34516.0,3,41,1043,0.03,1489,38,1,3,0
758,F,38,Married,1,Unknown,Silver,12621.0,3,36,912,0.072,4945,78,1,3,0
759,F,44,Married,3,Unknown,Silver,24936.0,5,31,2053,0.082,1810,38,0,2,0
760,F,48,Married,3,Less than $50K,Silver,1438.3,5,36,0,0.0,4490,65,1,2,0
761,F,52,Unknown,0,$50K - $70K,Silver,2723.0,4,42,1544,0.567,4108,70,2,3,0
762,M,46,Single,4,$90K - $110K,Silver,1438.3,6,36,0,0.0,4461,71,2,1,0
763,M,46,Divorced,3,$90K - $110K,Silver,8258.0,6,38,1771,0.214,1447,23,3,3,0
764,F,51,Single,3,Unknown,Silver,2420.0,4,45,2379,0.983,4348,86,4,3,0
765,M,46,Married,3,$50K - $70K,Silver,2403.0,6,37,0,0.0,3393,64,5,2,0
766,M,39,Married,3,$70K - $90K,Silver,4759.0,6,36,1459,0.307,2903,57,4,2,0
767,M,43,Unknown,3,$90K - $110K,Silver,20348.0,6,38,1732,0.085,1624,27,3,2,0
768,F,27,Married,1,Less than $50K,Silver,1893.0,5,20,0,0.0,5176,91,3,3,0
769,M,47,Single,4,$110K and Over,Silver,7015.0,3,35,0,0.0,1799,51,3,4,0
770,F,44,Single,4,$50K - $70K,Silver,4333.0,3,30,0,0.0,1558,40,4,4,1
771,M,49,Married,5,$90K - $110K,Silver,2292.0,6,36,0,0.0,2584,60,2,2,0
772,F,44,Married,4,Unknown,Silver,5366.0,6,38,968,0.18,4558,56,2,1,0
773,F,43,Divorced,3,Less than $50K,Silver,1662.0,4,24,613,0.369,2326,31,2,2,1
774,M,62,Married,0,$50K - $70K,Silver,2591.0,5,48,0,0.0,2123,56,5,1,0
775,F,35,Married,4,Less than $50K,Silver,1555.0,3,24,872,0.561,2252,51,4,2,0
776,M,32,Unknown,0,Less than $50K,Silver,3788.0,3,36,1325,0.35,3975,65,4,3,0
777,F,45,Single,2,Less than $50K,Silver,5596.0,6,41,0,0.0,3212,64,2,2,0
778,F,37,Single,2,Less than $50K,Silver,3967.0,1,21,1476,0.372,4490,66,1,1,0
779,M,31,Unknown,1,Less than $50K,Diamond,15261.0,3,21,1109,0.073,15442,125,2,2,0
780,F,37,Single,3,Unknown,Silver,2179.0,4,18,0,0.0,2568,48,3,1,1
781,M,47,Divorced,2,$90K - $110K,Silver,21714.0,1,37,1969,0.091,13270,104,2,2,0
782,M,29,Married,0,$50K - $70K,Silver,1459.0,3,36,590,0.404,2229,52,4,3,0
783,F,43,Single,3,Less than $50K,Silver,4075.0,5,38,1986,0.487,2449,27,4,2,1
784,M,26,Single,0,$50K - $70K,Silver,3324.0,3,15,0,0.0,982,22,3,1,1
785,F,36,Single,5,Less than $50K,Silver,2980.0,3,24,2093,0.702,4132,70,1,1,0
786,F,52,Married,1,Less than $50K,Silver,2253.0,2,36,1981,0.879,4758,81,2,2,0
787,F,40,Single,3,Less than $50K,Silver,3804.0,4,33,1917,0.504,14321,102,2,3,0
788,F,41,Divorced,2,Less than $50K,Silver,1569.0,3,36,257,0.164,2288,45,4,3,1
789,M,48,Single,4,$90K - $110K,Silver,32838.0,3,36,1717,0.052,2538,42,3,3,1
790,F,59,Single,0,Less than $50K,Silver,2533.0,3,52,2076,0.82,3816,75,3,3,0
791,F,45,Single,2,$50K - $70K,Silver,1438.3,5,36,986,0.686,5136,81,3,4,0
792,F,52,Married,3,Less than $50K,Silver,2187.0,4,36,1094,0.5,4222,61,3,2,0
793,M,42,Unknown,4,$70K - $90K,Gold,29937.0,3,30,0,0.0,14863,109,3,1,0
794,M,37,Single,1,$70K - $90K,Silver,15755.0,6,26,1410,0.089,2061,61,2,3,0
795,F,53,Married,3,Less than $50K,Silver,3733.0,1,47,1620,0.434,15200,118,2,3,0
796,M,34,Married,5,$70K - $90K,Silver,2501.0,5,27,1909,0.763,1850,34,2,2,0
797,M,49,Single,1,$70K - $90K,Silver,18349.0,1,37,1209,0.066,16422,110,2,2,0
798,M,47,Single,2,$110K and Over,Silver,28852.0,2,29,1974,0.068,7432,90,2,3,0
799,F,54,Married,2,Less than $50K,Silver,1804.0,4,47,1298,0.72,4542,73,3,2,0
800,M,26,Married,0,Less than $50K,Silver,9916.0,5,36,0,0.0,3477,65,4,2,0
801,F,57,Unknown,3,Less than $50K,Silver,1462.0,5,43,0,0.0,2299,42,2,3,1
802,F,47,Single,3,Less than $50K,Silver,1438.3,3,39,0,0.0,2476,32,3,3,1
803,M,41,Married,3,$70K - $90K,Silver,5071.0,4,32,1043,0.206,3358,62,3,1,0
804,F,42,Married,2,Less than $50K,Silver,5928.0,5,36,2517,0.425,3536,69,3,1,0
805,F,50,Married,1,$50K - $70K,Silver,2661.0,6,40,1575,0.592,4615,82,2,2,0
806,M,35,Married,2,$70K - $90K,Silver,1438.3,3,36,0,0.0,2492,55,2,3,0
807,M,32,Married,0,$110K and Over,Silver,22382.0,3,27,0,0.0,695,10,4,3,1
808,F,47,Divorced,4,Less than $50K,Silver,3482.0,6,41,2114,0.607,1039,24,3,5,0
809,M,45,Married,2,$90K - $110K,Silver,24844.0,4,36,1273,0.051,6549,75,3,3,0
810,M,44,Married,3,$70K - $90K,Silver,21158.0,4,34,0,0.0,4071,67,5,2,0
811,M,42,Single,3,$110K and Over,Silver,15108.0,6,36,0,0.0,3738,68,2,3,0
812,F,53,Married,1,Less than $50K,Silver,7832.0,4,32,1784,0.228,14614,106,3,2,0
813,M,52,Single,2,$110K and Over,Silver,34516.0,5,44,2174,0.063,1616,50,1,1,0
814,F,51,Divorced,0,Less than $50K,Silver,3049.0,6,47,1151,0.378,4027,76,3,4,0
815,M,51,Single,4,$110K and Over,Diamond,34516.0,2,33,1848,0.054,14149,103,2,2,0
816,F,42,Single,4,Less than $50K,Silver,1446.0,3,30,621,0.429,4860,68,1,2,0
817,M,33,Single,1,$90K - $110K,Silver,34516.0,4,28,0,0.0,2804,70,3,3,0
818,F,36,Married,2,Less than $50K,Silver,4701.0,5,25,1492,0.317,1679,32,4,3,0
819,F,35,Married,2,$50K - $70K,Silver,3454.0,4,36,1603,0.464,1575,41,4,3,0
820,F,45,Married,3,Unknown,Silver,5056.0,4,34,0,0.0,4428,78,1,2,0
821,M,46,Single,3,$90K - $110K,Gold,34516.0,2,32,1954,0.057,7594,69,3,1,0
822,F,48,Married,2,$50K - $70K,Gold,16002.0,6,41,2076,0.13,3667,52,1,3,0
823,M,43,Married,3,$90K - $110K,Silver,2900.0,3,25,2517,0.868,2180,31,3,3,1
824,F,47,Single,3,Unknown,Gold,34516.0,2,33,1930,0.056,16369,125,3,2,0
825,M,42,Married,3,$90K - $110K,Silver,24126.0,3,36,948,0.039,3342,52,2,2,0
826,M,48,Married,1,$70K - $90K,Silver,8624.0,2,39,1709,0.198,15738,111,1,3,0
827,M,53,Single,0,$90K - $110K,Silver,2664.0,5,42,2037,0.765,1286,29,1,4,0
828,M,57,Single,3,$110K and Over,Gold,34516.0,1,49,2517,0.073,8596,102,1,2,0
829,F,59,Married,1,$50K - $70K,Silver,3356.0,4,36,985,0.294,999,28,3,2,0
830,F,57,Single,4,Unknown,Silver,4396.0,3,36,834,0.19,4826,88,3,6,0
831,M,63,Married,0,$50K - $70K,Silver,6500.0,4,56,1786,0.275,1497,27,5,2,0
832,M,38,Single,3,Less than $50K,Silver,3094.0,5,34,1317,0.426,3607,81,2,3,0
833,F,64,Single,0,Unknown,Silver,4100.0,3,56,863,0.21,3593,51,4,2,0
834,F,40,Married,2,Less than $50K,Silver,2734.0,1,28,1661,0.608,4981,90,3,3,0
835,F,60,Single,0,Less than $50K,Silver,1438.3,5,48,0,0.0,4104,83,3,1,0
836,F,50,Married,2,Unknown,Silver,4045.0,5,36,0,0.0,2438,41,4,2,1
837,F,42,Married,3,Unknown,Silver,7226.0,1,27,1889,0.261,4653,71,1,1,0
838,M,55,Single,3,$110K and Over,Silver,3088.0,5,48,1743,0.564,3906,68,2,2,0
839,F,48,Married,1,Less than $50K,Silver,1449.0,6,38,749,0.517,4039,50,3,2,0
840,M,46,Divorced,3,$90K - $110K,Silver,8475.0,3,38,1385,0.163,1381,40,1,2,0
841,F,36,Divorced,4,Unknown,Silver,8513.0,6,16,0,0.0,4162,70,3,3,0
842,F,64,Single,0,Less than $50K,Silver,2609.0,6,56,1115,0.427,4546,59,1,6,0
843,F,51,Married,3,$50K - $70K,Silver,9117.0,5,45,1259,0.138,3837,75,3,2,0
844,M,60,Married,1,$70K - $90K,Silver,10264.0,3,48,2073,0.202,1685,45,3,1,0
